date,weight
13-02-21,76.1
13-02-22,75.3
13-02-24,75.7
13-02-25,74.7
13-02-26,75.4
13-02-27,75.4
13-02-28,74.8
13-03-01,76.0
13-03-04,75.1
13-03-05,76.1
13-03-08,75.0
13-03-10,76.1
13-03-11,75.7
13-03-12,75.3
13-03-13,74.6
13-03-14,74.6
13-03-15,73.7
13-03-16,74.9
13-03-17,74.9
13-03-19,76.3
13-03-20,74.8
13-03-21,74.8
13-03-22,73.8
13-03-25,75.3
13-03-26,74.5
13-03-28,74.5
13-03-30,73.5
13-03-31,74.8
13-04-01,75.1
13-04-02,74.0
13-04-03,74.0
13-04-04,73.0
13-04-05,74.4
13-04-07,75.0
13-04-13,74.1
13-04-14,75.0
13-04-15,74.5
13-04-16,74.5
13-05-03,71.0
13-05-04,72.0
13-05-05,71.3
13-05-06,70.7
13-05-07,70.3
13-05-08,71.0
13-05-09,70.2
13-05-10,70.2
13-05-11,69.9
13-05-12,68.7
13-05-13,70.5
13-05-14,72.3
13-05-15,73.1
13-05-16,72.1
13-05-17,71.5
13-05-18,70.7
13-05-19,69.9
13-05-20,71.8
13-05-21,71.8
13-05-23,72.6
13-05-24,72.0
13-05-26,72.0
13-05-28,72.9
13-05-30,73.9
13-05-31,73.9
13-06-03,72.9
13-06-04,72.9
13-06-05,72.9
13-06-06,74.3
13-06-07,74.0
13-06-08,74.0
13-06-09,74.7
13-06-11,75.0
13-06-12,75.0
13-06-13,75.0
13-06-14,75.5
13-06-17,74.5
13-06-19,74.5
13-06-20,74.0
13-06-21,74.4
13-06-24,75.5
13-06-25,75.5
13-06-26,74.8
13-06-27,75.8
13-06-30,75.8
13-07-01,77.1
13-07-03,77.3
13-07-04,76.6
13-07-05,77.1
13-07-07,76.7
13-07-08,76.3
13-07-09,77.6
13-07-11,75.8
13-07-13,75.9
13-07-14,75.9
13-07-17,76.6
13-07-18,76.1
13-07-19,76.1
13-07-20,76.6
13-07-22,76.6
13-07-23,77.0
13-07-25,75.8
13-07-26,76.3
13-07-27,75.1
13-07-28,75.1
13-07-29,75.1
13-07-30,76.7
13-07-31,75.8
13-08-01,76.5
13-08-03,75.7
13-08-04,74.4
13-08-05,75.4
13-08-06,76.3
13-08-08,76.2
13-08-10,75.0
13-08-11,76.0
13-08-12,76.7
13-08-13,77.4
13-08-14,76.6
13-08-14,76.6
13-08-16,76.9
13-08-19,75.1
13-08-20,74.6
13-08-21,75.7
13-08-23,75.4
13-08-27,75.4
13-08-28,76.1
13-08-29,76.0
13-08-30,76.5
13-09-02,76.8
13-09-03,76.2
13-09-04,75.8
13-09-05,76.6
13-09-06,76.3
13-09-08,75.2
13-09-09,76.5
13-09-11,75.7
13-09-12,75.6
13-09-16,76.4
13-09-18,75.9
13-09-19,75.9
13-09-20,75.9
13-09-23,74.8
13-09-24,74.5
13-09-25,75.0
13-09-26,75.5
13-09-27,75.5
13-09-28,75.5
13-09-29,75.1
13-09-30,75.1
13-10-01,75.1
13-10-02,75.1
13-10-03,75.3
13-10-04,76.0
13-10-07,76.0
13-10-08,75.0
13-10-09,75.8
13-10-10,75.8
13-10-11,75.3
13-10-15,75.3
13-10-16,74.5
13-10-18,75.7
13-10-19,75.2
13-10-21,74.9
13-10-22,74.5
13-10-23,75.0
13-10-24,74.3
13-10-25,74.7
13-10-26,74.7
13-10-27,75.2
13-10-28,74.7
13-10-30,74.7
13-11-01,73.6
13-11-02,74.1
13-11-03,73.4
13-11-04,73.1
13-11-05,73.1
13-11-06,74.1
13-11-08,74.4
13-11-11,73.2
13-11-12,73.2
13-11-13,73.8
13-11-14,73.8
13-11-15,74.3
13-11-18,74.2
13-11-19,72.5
13-11-21,72.2
13-11-22,72.8
13-11-23,72.8
13-11-25,73.4
13-11-27,72.6
13-11-28,72.3
13-11-29,73.3
13-11-30,73.3
13-12-01,71.5
13-12-02,72.5
13-12-03,71.5
13-12-05,73.2
13-12-06,73.2
13-12-08,73.7
13-12-09,72.5
13-12-12,71.8
13-12-13,72.3
13-12-15,72.8
13-12-16,73.1
13-12-17,71.3
13-12-18,72.3
13-12-24,72.6
13-12-25,72.6
13-12-26,73.1
13-12-29,73.6
13-12-30,73.3
14-01-01,74.8
14-01-02,74.2
14-01-03,73.8
14-01-06,74.5
14-01-07,73.4
14-01-08,73.7
14-01-09,73.6
14-01-10,73.7
14-01-11,73.3
14-01-12,72.8
14-01-13,73.1
14-01-15,73.0
14-01-16,72.4
14-01-20,74.4
14-01-21,73.7
14-01-22,74.2
14-01-23,72.9
14-01-24,73.9
14-01-28,73.4
14-01-29,73.7
14-01-30,72.8
14-02-03,74.2
14-02-04,74.2
14-02-06,74.2
14-02-08,74.7
14-02-09,74.7
14-02-10,74.7
14-02-12,73.9
14-02-13,73.9
14-02-15,72.2
14-02-17,73.7
14-02-22,72.9
14-02-24,73.9
14-02-27,73.3
14-02-28,72.3
14-03-05,73.1
14-03-06,73.1
14-03-07,73.1
14-03-09,74.0
14-03-10,72.9
14-03-12,72.6
14-03-13,71.5
14-03-15,72.9
14-03-17,72.6
14-03-18,74.2
14-03-20,73.7
14-03-24,73.4
14-03-25,73.4
14-03-26,72.7
14-03-27,71.9
14-03-30,73.1
